127.0.0.1 - - [17/Oct/2025:23:04:28 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:04:29 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:04:30 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:04:37 +0530] "GET /com.calculator.jsp/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:04:43 +0530] "GET /com.calculator.jsp/Calculator.jsp?first=&second=&Operation=Add HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:07:19 +0530] "GET /com.calculator.jsp/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:07:20 +0530] "GET /com.calculator.jsp/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:07:21 +0530] "GET /com.calculator.jsp/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:08:02 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:10:07 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:12:10 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:13:03 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:14:13 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:14:14 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:14:26 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:14:35 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:14:55 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=hjhjhjjhj&Second=jhjhjj&Add=Add HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:24:30 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:24:31 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:24:42 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:24:48 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=&Second=&Add=Add HTTP/1.1" 500 2471
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:27:02 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:27:15 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:27:16 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=&Second=&Operation=Add HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:29:27 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=&Second=&Add=Add HTTP/1.1" 500 2471
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:29:51 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:29:51 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:29:57 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:29:59 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=&Second=&Operation=Add HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:30:09 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=&Second=&Operation=Add HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:30:10 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=&Second=&Operation=Add HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:34:16 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=&Second=&Operation=Add HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:34:25 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=10&Second=20&Operation=Add HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:34:46 +0530] "GET /com.calculator.jsp/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:34:46 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:34:52 +0530] "GET /com.calculator.jsp/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2025:23:34:57 +0530] "GET /com.calculator.jsp/Arithmatic.jsp?First=10&Second=20&Operation=Add HTTP/1.1" 200 128
